nama_produk,link_produk,harga,jumlah_terjual,toko,rating
"Oxymeter Finger Tip Pulse  Oximeter alat pengukur kadar oxigen
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3z93kky-jual-oxymeter-finger-tip-pulse-oximeter-alat-pengukur-kadar-oxigen,47425,6227,HP TOKO,4.8
"fingertrip pulse oximeter..alat pengukur kadar oksigen & detak jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3qpp9i1-jual-fingertrip-pulse-oximeter-alat-pengukur-kadar-oksigen-detak-jantung,130000,18,bintang7 herbal,5
"Fingertip Pulse Oximeter Alat Ukur Kadar Oksigen dan Detak Jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/a4fbjx-jual-fingertip-pulse-oximeter-alat-ukur-kadar-oksigen-dan-detak-jantung,80000,73,TIMUR JAYA,5
"Fingertip Pulse Oximeter SPO2 Saturation Monitor YOBEKAN YBK 303
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g4rjts-jual-fingertip-pulse-oximeter-spo2-saturation-monitor-yobekan-ybk-303,95000,3,TIMUR JAYA,5
"Pulse Oximeter - Oxymeter Alat Ukur Oksigen Dalam Darah
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g4k0o7-jual-pulse-oximeter-oxymeter-alat-ukur-oksigen-dalam-darah,229900,0,OPA DODOL SHOP,0
"YOBEKAN YBK303 Fingertip Pulse Oximeter Oksimeter Oximetry SpO2 Cek Kadar Oksigen
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g51ptj-jual-yobekan-ybk303-fingertip-pulse-oximeter-oksimeter-oximetry-spo2-cek-kadar-oksigen,85000,39,hwthinker,5
"Oximeter Oxymeter Pengukur Kadar Oksigen Dalam Darah Jantung Fingertip Pulse Oximeter
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/3rh9ewo-jual-oximeter-oxymeter-pengukur-kadar-oksigen-dalam-darah-jantung-fingertip-pulse-oximeter,25000,1357,MScard,4.8
"KUKE Fingertip Pulse Oximeter - Alat Ukur Detak Jantung - Oximeter
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/3r1470p-jual-kuke-fingertip-pulse-oximeter-alat-ukur-detak-jantung-oximeter,25000,275,KUKE,4.9
"Fingertip pulse oximeter blood oxygen saturation dan heart rate detection dalam 5 detik multifunctional portable suitable for family travel
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g1l4r7-jual-fingertip-pulse-oximeter-blood-oxygen-saturation-dan-heart-rate-detection-dalam-5-detik-multifunctional-portable-suitable-for-family-travel,18500,471,Luckyelectro,5
"Fingertip Pulse Oxymeter Oximeter SpO2 LED Full Colour LK87
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/3lqo4hr-jual-fingertip-pulse-oxymeter-oximeter-spo2-led-full-colour-lk87,21000,1132,Juragan Kado,4.9
"Oxymeter Finger Tip Pulse  Oximeter alat pengukur kadar oxigen
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3z93kky-jual-oxymeter-finger-tip-pulse-oximeter-alat-pengukur-kadar-oxigen,47425,6227,HP TOKO,4.8
